name,audit_verdict,audit_leakage,overfit_risk,self_mae_pct,ok,mae_pct,bias_pct,median_abs_pct,rmse_pct,within_5pct,within_10pct,worst_abs_pct,n,by_year,error
bias_constrained_inverse_mae_ensemble,keep,False,low,4.19,True,4.19,-0.36,3.17,5.32,27,39,16.38,40,"{""2023"": 4.78, ""2024"": 4.22, ""2025"": 3.74, ""2026"": 3.66}",
bias_corrected_lag_regression,keep,False,low,4.73,True,4.73,-0.58,3.52,5.91,23,35,14.61,40,"{""2023"": 6.63, ""2024"": 3.61, ""2025"": 4.3, ""2026"": 3.64}",
damped_theta_decomp_stack,keep,False,,4.13,True,4.13,-0.03,3.59,5.2,28,39,16.02,40,"{""2023"": 4.7, ""2024"": 4.23, ""2025"": 3.65, ""2026"": 3.54}",
decomp_regression_stack,keep,False,low,4.26,True,4.26,0.36,3.64,5.35,26,37,15.52,40,"{""2023"": 4.81, ""2024"": 4.2, ""2025"": 3.71, ""2026"": 4.43}",
holt_winters,,,,,True,4.04,-0.47,3.82,5.2,26,39,14.18,40,"{""2023"": 4.65, ""2024"": 3.94, ""2025"": 3.69, ""2026"": 3.6}",
lag_regression,keep,False,med,4.35,True,4.35,-1.61,3.57,5.71,28,38,17.18,40,"{""2023"": 5.58, ""2024"": 4.27, ""2025"": 3.94, ""2026"": 2.1}",
log_space_leader_ensemble,keep,False,low,3.96,True,3.96,-0.25,3.44,5.18,26,38,14.77,40,"{""2023"": 4.79, ""2024"": 4.04, ""2025"": 3.26, ""2026"": 3.33}",
log_theta_ets,keep,False,med,4.07,True,4.07,-0.42,3.64,5.2,26,38,14.52,40,"{""2023"": 4.75, ""2024"": 4.08, ""2025"": 3.53, ""2026"": 3.7}",
log_theta_lag_hybrid,keep,False,low,4.17,True,4.17,-0.47,3.7,5.3,27,38,13.99,40,"{""2023"": 4.68, ""2024"": 4.16, ""2025"": 3.75, ""2026"": 3.93}",
ridge_seasonal_lags,keep,False,med,4.51,True,4.51,-1.29,3.79,5.78,27,36,17.09,40,"{""2023"": 6.49, ""2024"": 4.15, ""2025"": 3.56, ""2026"": 2.51}",
sarima,keep,False,med,4.52,True,4.52,0.11,3.75,5.7,26,37,15.91,40,"{""2023"": 4.88, ""2024"": 5.42, ""2025"": 3.65, ""2026"": 3.33}",
seasonal_ols,keep,False,med,4.64,True,4.64,-2.35,4.33,5.77,24,36,13.99,40,"{""2023"": 5.26, ""2024"": 3.9, ""2025"": 4.76, ""2026"": 4.62}",
seasonal_x_trend,keep,False,low,4.47,True,4.47,-2.11,4.51,5.57,23,37,13.92,40,"{""2023"": 5.0, ""2024"": 3.81, ""2025"": 4.54, ""2026"": 4.67}",
stl_trend,keep,False,med,4.61,True,4.61,0.04,4.14,5.49,25,38,12.67,40,"{""2023"": 4.17, ""2024"": 4.48, ""2025"": 4.93, ""2026"": 5.42}",
theta_decomp_blend,keep,False,low,4.01,True,4.01,0.14,3.82,5.2,26,37,15.28,40,"{""2023"": 4.84, ""2024"": 3.86, ""2025"": 3.36, ""2026"": 3.92}",
theta_ets,keep,False,low,4.18,True,4.18,-0.53,3.62,5.3,24,38,14.57,40,"{""2023"": 5.11, ""2024"": 4.14, ""2025"": 3.49, ""2026"": 3.53}",
theta_lag_ensemble,keep,False,low,4.01,True,4.01,-0.08,3.15,5.28,27,38,15.03,40,"{""2023"": 5.12, ""2024"": 4.01, ""2025"": 3.1, ""2026"": 3.4}",
trimmed_mean_of_leaders,keep,False,low,4.1,True,4.1,-1.16,3.68,5.14,26,39,15.24,40,"{""2023"": 5.07, ""2024"": 3.9, ""2025"": 3.73, ""2026"": 2.87}",
BENCH_seasonal_naive,benchmark,False,,,True,8.35,-8.28,8.75,9.7,12,24,18.22,40,"{""2023"": 4.95, ""2024"": 9.11, ""2025"": 10.08, ""2026"": 11.12}",
BENCH_trailing12,benchmark,False,,,True,5.27,-2.36,3.84,6.54,24,36,15.87,40,"{""2023"": 5.52, ""2024"": 4.58, ""2025"": 5.35, ""2026"": 6.31}",
