month,y,sg_hsfo,sg_lsmgo,sg_mgo,sg_vlsfo,fujairah_total,rotterdam_total,panama_total,year,month_num,t,y_lag1,y_lag3,y_lag6,y_lag12
2020-01-01,4.514e+06,763000.0,445000.0,108000.0,3.111e+06,,2.376987e+06,477339.0,2020,1,0,,,,
2020-02-01,3.879e+06,619000.0,400000.0,86000.0,2.712e+06,,,442886.0,2020,2,1,4.514e+06,,,
2020-03-01,4.322e+06,738000.0,407000.0,52000.0,3.002e+06,,,448093.0,2020,3,2,3.879e+06,,,
2020-04-01,4.113e+06,770000.0,372000.0,48000.0,2.855e+06,,2.24922e+06,415222.0,2020,4,3,4.322e+06,4.514e+06,,
2020-05-01,3.924e+06,785000.0,351000.0,72000.0,2.656e+06,,,386955.0,2020,5,4,4.113e+06,3.879e+06,,
2020-06-01,3.829e+06,802000.0,254000.0,56000.0,2.652e+06,,,302330.0,2020,6,5,3.924e+06,4.322e+06,,
2020-07-01,4.157e+06,987000.0,245000.0,30000.0,2.893e+06,,2.282631e+06,337035.0,2020,7,6,3.829e+06,4.113e+06,4.514e+06,
2020-08-01,4.168e+06,1.026e+06,273000.0,27000.0,2.84e+06,,,372055.0,2020,8,7,4.157e+06,3.924e+06,3.879e+06,
2020-09-01,4.217e+06,932000.0,362000.0,25000.0,2.896e+06,,,375126.0,2020,9,8,4.168e+06,3.829e+06,4.322e+06,
2020-10-01,4.152e+06,1.083e+06,328000.0,33000.0,2.706e+06,,2.512847e+06,412622.0,2020,10,9,4.217e+06,4.157e+06,4.113e+06,
2020-11-01,4.262e+06,1.059e+06,324000.0,50000.0,2.828e+06,,,363735.0,2020,11,10,4.152e+06,4.168e+06,3.924e+06,
2020-12-01,4.289e+06,1.018e+06,295000.0,42000.0,2.934e+06,,,413230.0,2020,12,11,4.262e+06,4.217e+06,3.829e+06,
2021-01-01,4.502e+06,1.129e+06,336000.0,43000.0,2.994e+06,659723.25,2.492352e+06,413650.0,2021,1,12,4.289e+06,4.152e+06,4.157e+06,4.514e+06
2021-02-01,4.12e+06,1.001e+06,358000.0,33000.0,2.726e+06,617898.3,,418415.0,2021,2,13,4.502e+06,4.262e+06,4.168e+06,3.879e+06
2021-03-01,4.199e+06,990000.0,318000.0,30000.0,2.833e+06,614311.25,,442026.0,2021,3,14,4.12e+06,4.289e+06,4.217e+06,4.322e+06
2021-04-01,4.256e+06,1.089e+06,297000.0,33000.0,2.812e+06,658239.7,2.534694e+06,417305.0,2021,4,15,4.199e+06,4.502e+06,4.152e+06,4.113e+06
2021-05-01,4.071e+06,984000.0,281000.0,30000.0,2.776e+06,652272.56,,417643.0,2021,5,16,4.256e+06,4.12e+06,4.262e+06,3.924e+06
2021-06-01,4.112e+06,1.058e+06,277000.0,30000.0,2.746e+06,650142.94,,377153.0,2021,6,17,4.071e+06,4.199e+06,4.289e+06,3.829e+06
2021-07-01,4.063e+06,1.057e+06,281000.0,25000.0,2.7e+06,668669.5,2.690905e+06,387218.0,2021,7,18,4.112e+06,4.256e+06,4.502e+06,4.157e+06
2021-08-01,4.071e+06,1.054e+06,290000.0,26000.0,2.68e+06,685128.2,,388640.0,2021,8,19,4.063e+06,4.071e+06,4.12e+06,4.168e+06
2021-09-01,3.935e+06,995000.0,331000.0,26000.0,2.581e+06,619770.1,,388027.0,2021,9,20,4.071e+06,4.112e+06,4.199e+06,4.217e+06
2021-10-01,4.254e+06,1.18e+06,308000.0,39000.0,2.706e+06,757401.1,2.694579e+06,414442.0,2021,10,21,3.935e+06,4.063e+06,4.256e+06,4.152e+06
